Task name,Marketplace URL,Status
Yext,https://www.yext.com/integrations/publishers,Script Fail
Github,https://github.com/marketplace?type=,Script Fail
Blueshift,https://blueshift.com/integration-partners/,Test Fail
Gong,https://integrations.gong.io/all,Test Fail
Airtable,https://airtable.com/marketplace,Script Fail
Ringostat,https://ringostat.com/integrations/#all,Script Fail
Adobe Marketo,https://exchange.adobe.com/apps/browse/ec?page=1&product=MRKTO&sort=RELEVANCE,Script Fail
Klaviyo,https://connect.klaviyo.com/integrations,Script Fail
Totango,https://www.totango.com/integrations?,Script Fail
Intercom,https://www.intercom.com/app-store?on_pageview_event=app_store_footer,Script Fail
Extole,https://partners.extole.com/,Script Fail
MINDBODY,https://partnerstore.mindbodyonline.com/en-US/home,Script Fail
Quickbooks,https://quickbooks.intuit.com/sg/app-store/#allapps,Script Fail
ActiveProspect,https://activeprospect.com/integrations/,Test Fail
Hibob,https://www.hibob.com/integrations/,Test Fail
Aurea,https://www.aurea.com/library/,Test Fail
Personia,https://www.marketplace.personio.com/,Script Fail
ChannelAdvisor,https://www.channeladvisor.com/about/partners/,Script Fail
Klue,https://klue.com/product/integrations,Script Fail
Google Cloud Console,https://console.cloud.google.com/marketplace,Script Fail
Cart,https://cart.partnerpage.io/partners/technologies,Script Fail
Stripe Partner Directory,https://stripe.com/partners/directory,Script Fail
Weebly,https://www.weebly.com/app-center,Script Fail
Crowdstrike,https://marketplace.crowdstrike.com/,Script Fail
Drift,https://www.drift.com/platform/integrations/,Script Fail
Reply.io,https://reply.io/integrations/,Script Fail
Gusto,https://gusto.com/product/integrations,Script Fail
Blueconic,https://www.blueconic.com/connections,Script Fail
Calendly,https://calendly.com/integration,Script Fail
Brevo,https://www.brevo.com/plugins/,Script Fail
Censhare,https://www.censhare.com/en/our-partners,Script Fail
360Learning,https://360learning.com/integrations/,Script Fail
Affirm,https://www.affirm.com/business/partners/directory/,Script Fail
Atlassian,https://marketplace.atlassian.com/,Script Fail
Okta,https://www.okta.com/integrations/,Script Fail
Oneflow,https://oneflow.com/integrations/,Script Fail
Contentful,https://www.contentful.com/marketplace/,Script Fail
BambooHR ,https://www.bamboohr.com/integrations/,Script Fail
BillingPlatform,https://billingplatform.com/marketplaceapps,Script Fail
Bombora,https://bombora.com/integrations/,Script Fail
CampaignMonitor,https://www.campaignmonitor.com/integrations/directory/,Script Fail
Linear,https://linear.app/integrations,Script Fail
Sage,https://marketplace.intacct.com,Script Fail
Vercel,https://vercel.com/integrations,Script Fail
Pendo,https://www.pendo.io/integrations/,Script Fail
Partnerbase,https://www.partnerbase.com/app/search/,Script Fail
Servicenow,https://store.servicenow.com/sn_appstore_store.do#!/store/home,Script Fail
Netlify,https://www.netlify.com/integrations/,Script Fail
Rippling,https://www.rippling.com/app-shop,Script Fail
SmartRecruiters,https://marketplace.smartrecruiters.com/partners/knockri,Script Fail
Livechat,https://www.livechat.com/marketplace/apps/?compatibility=livechat&sortBy=recommended,Script Fail
Miro,https://miro.com/marketplace/,Script Fail
Healthie,https://harbor.gethealthie.com/?developedby=&menu_open=1,Script Fail
Pax8,https://www.pax8.com/en-apac/marketplace/,Test Fail
Eventbrite,https://www.eventbrite.sg/apps/,Script Fail
OpenAI GPT Store,https://chat.openai.com/gpts,Script Fail
Chargebee,https://marketplace.chargebee.com/,Script Fail
Aircall,https://aircall.io/call-center-software-integrations/,Script Fail
Box,https://app.box.com/app-center,Script Fail
Appdirect,https://catalog.appdirect.com/en-US/home,Script Fail
Deel Integration Marketplace,https://www.deel.com/integrations/,Script Fail
Emarsys,https://emarsys.com/partner-ecosystem/directory/,Script Fail
Talkdesk,https://appconnect.talkdesk.com/,Script Fail
Rydoo,https://www.rydoo.com/marketplace/,Script Fail
Kameleoon,https://www.kameleoon.com/en/integrations,Script Fail
Powerreviews,https://partnerships.powerreviews.com/integrations,Script Fail
Close,https://www.close.com/integrations,Script Fail
Oktopost,https://www.oktopost.com/integrations,Script Fail
Dukaan,https://mydukaan.io/plugins,Script Fail
Network,https://network.id.me/trusted-partner-network/,Script Fail
Sendpulse,https://sendpulse.com/integrations,Script Fail
Maximizer,https://www.maximizer.com/api-integrations/,Script Fail
MovableInk,https://exchange.movableink.com/,Script Fail
Lightspeedhq,https://www.lightspeedhq.com/integrations/,Script Fail
yellow,https://cloud.yellow.ai/marketplace,Script Fail
Algolia,https://www.algolia.com/developers/integrations/,Script Fail
RollWorks,https://partners.rollworks.com/,Script Fail
ReachDesk,https://reachdesk.com/integrations,Script Fail
Jebbit,https://jebbit.partnerpage.io/tech-partners,Script Fail
Liferay,https://marketplace.liferay.com/,Script Fail
Okendo,https://get-connected.okendo.io/integrations,Script Fail
Stackline,https://www.stackline.com/marketplaces,Script Fail
Repay,https://partners.repay.com/integrations,Script Fail
Olo,https://partners.olo.com/,Script Fail
spscommerce,https://www.spscommerce.com/partner-community/directory/,Script Fail
Certinia,https://certinia.com/partners/readyapp-partners/,Script Fail
Microsoft Azure,https://azuremarketplace.microsoft.com/en-us/home,Script Fail
Nationbuilder,https://nationbuilder.com/apps_and_integrations,Script Fail
Feefo,https://www.feefo.com/uk/business/product/integrations,Script Fail
Webflow,https://webflow.com/apps,Script Fail
NachoNacho,https://nachonacho.com/marketplace,Script Fail
Chilipiper,https://www.chilipiper.com/integrations,Script Fail
Yotpo,https://www.yotpo.com/integrations/,Script Fail
Monday,https://monday.com/p/find-a-partner/solutions/,Script Fail
Webflow,https://webflow.com/apps,Script Fail
Softwareag,https://prm.softwareag.com/english/directory/,Script Fail
Screencloud,https://screencloud.com/apps,Script Fail
Crossbeam,https://marketplace.crossbeam.com/,Script Fail
Trainual,https://trainual.com/integrations,Script Fail
Recurly,https://recurly.com/integrations/,Script Fail
Mixpanel,https://mixpanel.com/partners/integrations,Script Fail
Moengage,https://www.moengage.com/app-marketplace/,Script Fail
Raydiant,https://www.raydiant.com/marketplace/collections,Script Fail
Servicetitan,https://marketplace.servicetitan.com/partner,Script Fail
Signpost,https://www.signpost.com/partner-marketplace/,Script Fail
Adjust,https://www.adjust.com/partners/tech/,Script Fail
Omnisend,https://appmarket.omnisend.com/app-list/home,Script Fail
Cloudtalk,https://www.cloudtalk.io/integrations/,Script Fail
Notion,https://www.notion.so/integrations/all,Script Fail
LiveRamp,https://partner-directory.liveramp.com/?_=1693142374478,Script Fail
Piperlinersales,https://www.pipelinersales.com/crm/apps/,Script Fail
Scoro,https://www.scoro.com/marketplace/,Script Fail
Mode,https://mode.com/data-sources/,Script Fail
Reputation,https://reputation.com/partners-integrations/,Script Fail
Extensiv,https://www.extensiv.com/ecosystem/integrations/library#?orde_sources=&hosting=&order_destinations=&extras=&search=,Script Fail
Postal,https://www.postal.com/integrations,Script Fail
Lianatech,https://www.lianatech.com/partners/our-partners.html,Script Fail
Zuora,https://www.zuora.com/about/partners/,Script Fail
Rudderstack,https://www.rudderstack.com/integration/,Script Fail
Techjockey,https://www.techjockey.com/categories,Script Fail
Synup,https://www.synup.com/integrations,Script Fail
Shipbob,https://www.shipbob.com/partners/#MarketplaceSolutions,Script Fail
mparticle,https://www.mparticle.com/integrations/,Script Fail
Postscript,https://postscript.io/integrations,Script Fail
Salesmanago,https://www.salesmanago.com/marketing-automation/integrations.htm,Script Fail
Freshbooks App Store,https://appstore.freshbooks.com/,Script Fail
Liveperson,https://partners.liveperson.com/english/directory/,Script Fail
Make,https://www.make.com/en/partners-directory,Script Fail
